Benchmarks,Original Size(Tokens),Reduced Size(Tokens),Original Size(Lines of Code),Size (Lines of Code),Success/Failure,Time -Run1,Time -Run2,Time -Run3	
calculator,31,18,YES,1.1,1.1,1	
compare-strings,28,15,YES,1.8,1.8,1.7	
complex,28,8,YES,1.3,1.3,1.3	
decimal-to-binary,29,--,--,TIMEOUT,TIMEOUT,TIMEOUT	
decimal-to-binary-alt,143,--,--,TIMEOUT,TIMEOUT,TIMEOUT	
fibonacci,45,44,YES,2.1,2.1,2.1	
floatingPointNumber,17,13,YES,0.6,0.5,0.6	
palindrome,54,23,YES,1.7,1.7,1.8	
random-number-range,30,21,YES,0.6,0.5,0.6	
reverse,53,31,YES,5.7,5.7,5.8	
simple,15,8,YES,0.9,0.8,0.9	
swap_and_sum,46,30,YES,3.3,3.3,3.3	
									